order_id,product_id,customer_id,employee_id,shipper_id,order_date,month_order,order_year,order_quarter,order_month,order_month_abbr,required_date,shipped_date,ship_status,ship_name,ship_address,ship_city,ship_region,ship_postal_code,ship_country,customer_name,customer_contact,customer_phone,customer_city,customer_region,customer_postal_code,customer_country,employee_name,employee_title,employee_city,employee_country,shipper_name,product_name,catalog_unit_price,price_band,category_id,category_name,trx_unit_price,quantity,discount,discount_pct,net_sales,freight_alloc,sales_plus_freight
10248,11,VINET,5,3,16-12-23,01-12-23,2023,4,12,Dec,13-01-24,28-12-23,On time,Vins et alcools Chevalier,59 rue de l'Abbaye,Reims,,51100,France,Vins et alcools Chevalier,Paul Henriot,26.47.15.10,Reims,,51100,France,Steven Buchanan,Sales Manager,London,UK,Federal Shipping,Queso Cabrales,21,20â€“50,4,Dairy Products,14,12,0,0,168,12.36,180.36
10248,42,VINET,5,3,16-12-23,01-12-23,2023,4,12,Dec,13-01-24,28-12-23,On time,Vins et alcools Chevalier,59 rue de l'Abbaye,Reims,,51100,France,Vins et alcools Chevalier,Paul Henriot,26.47.15.10,Reims,,51100,France,Steven Buchanan,Sales Manager,London,UK,Federal Shipping,Singaporean Hokkien Fried Mee,14,10â€“20,5,Grains/Cereals,9.8,10,0,0,98,7.21,105.21
10248,72,VINET,5,3,16-12-23,01-12-23,2023,4,12,Dec,13-01-24,28-12-23,On time,Vins et alcools Chevalier,59 rue de l'Abbaye,Reims,,51100,France,Vins et alcools Chevalier,Paul Henriot,26.47.15.10,Reims,,51100,France,Steven Buchanan,Sales Manager,London,UK,Federal Shipping,Mozzarella di Giovanni,34.8,20â€“50,4,Dairy Products,34.8,5,0,0,174,12.8,186.8
10249,14,TOMSP,6,1,17-12-23,01-12-23,2023,4,12,Dec,28-01-24,22-12-23,On time,Toms SpezialitÃ¤ten,Luisenstr. 48,MÃ¼nster,,44087,Germany,Toms SpezialitÃ¤ten,Karin Josephs,0251-031259,MÃ¼nster,,44087,Germany,Michael Suyama,Sales Representative,London,UK,Speedy Express,Tofu,23.25,20â€“50,7,Produce,18.6,9,0,0,167.4,1.04,168.44
10249,51,TOMSP,6,1,17-12-23,01-12-23,2023,4,12,Dec,28-01-24,22-12-23,On time,Toms SpezialitÃ¤ten,Luisenstr. 48,MÃ¼nster,,44087,Germany,Toms SpezialitÃ¤ten,Karin Josephs,0251-031259,MÃ¼nster,,44087,Germany,Michael Suyama,Sales Representative,London,UK,Speedy Express,Manjimup Dried Apples,53,>50,7,Produce,42.4,40,0,0,1696,10.57,1706.57
10250,41,HANAR,4,2,20-12-23,01-12-23,2023,4,12,Dec,17-01-24,24-12-23,On time,Hanari Carnes,"Rua do PaÃ§o, 67",Rio de Janeiro,RJ,05454-876,Brazil,Hanari Carnes,Mario Pontes,(21) 555-0091,Rio de Janeiro,RJ,05454-876,Brazil,Margaret Peacock,Sales Representative,Redmond,USA,United Package,Jack's New England Clam Chowder,9.65,<10,8,Seafood,7.7,10,0,0,77,3.26,80.26
10250,51,HANAR,4,2,20-12-23,01-12-23,2023,4,12,Dec,17-01-24,24-12-23,On time,Hanari Carnes,"Rua do PaÃ§o, 67",Rio de Janeiro,RJ,05454-876,Brazil,Hanari Carnes,Mario Pontes,(21) 555-0091,Rio de Janeiro,RJ,05454-876,Brazil,Margaret Peacock,Sales Representative,Redmond,USA,United Package,Manjimup Dried Apples,53,>50,7,Produce,42.4,35,0.15,15,1261.4,53.48,1314.88
10250,65,HANAR,4,2,20-12-23,01-12-23,2023,4,12,Dec,17-01-24,24-12-23,On time,Hanari Carnes,"Rua do PaÃ§o, 67",Rio de Janeiro,RJ,05454-876,Brazil,Hanari Carnes,Mario Pontes,(21) 555-0091,Rio de Janeiro,RJ,05454-876,Brazil,Margaret Peacock,Sales Representative,Redmond,USA,United Package,Louisiana Fiery Hot Pepper Sauce,21.05,20â€“50,2,Condiments,16.8,15,0.15,15,214.2,9.08,223.28
10251,22,VICTE,3,1,20-12-23,01-12-23,2023,4,12,Dec,17-01-24,27-12-23,On time,Victuailles en stock,"2, rue du Commerce",Lyon,,69004,France,Victuailles en stock,Mary Saveley,78.32.54.86,Lyon,,69004,France,Janet Leverling,Sales Representative,Kirkland,USA,Speedy Express,Gustaf's KnÃ¤ckebrÃ¶d,21,20â€“50,5,Grains/Cereals,16.8,6,0.05,5,95.76,6.05,101.81
10251,57,VICTE,3,1,20-12-23,01-12-23,2023,4,12,Dec,17-01-24,27-12-23,On time,Victuailles en stock,"2, rue du Commerce",Lyon,,69004,France,Victuailles en stock,Mary Saveley,78.32.54.86,Lyon,,69004,France,Janet Leverling,Sales Representative,Kirkland,USA,Speedy Express,Ravioli Angelo,19.5,10â€“20,5,Grains/Cereals,15.6,15,0.05,5,222.3,14.05,236.35
