order_id,product_id,customer_id,employee_id,shipper_id,order_date,month_order,order_year,order_quarter,order_month,order_month_abbr,required_date,shipped_date,ship_status,ship_name,ship_address,ship_city,ship_region,ship_postal_code,ship_country,customer_name,customer_contact,customer_phone,customer_city,customer_region,customer_postal_code,customer_country,employee_name,employee_title,employee_city,employee_country,shipper_name,product_name,catalog_unit_price,price_band,category_id,category_name,trx_unit_price,quantity,discount,discount_pct,net_sales,freight_alloc,sales_plus_freight,discount_flag,freight_ratio,repeat_customer_flag,delivery_days,is_late,ship_speed_category,pk_composite
10248,11,VINET,5,3,2023-12-16,2023-12-01,2023,4,12,Dec,2024-01-13,2023-12-28,On time,Vins et alcools Chevalier,59 rue de l'Abbaye,Reims,Unknown,51100,France,Vins et alcools Chevalier,Paul Henriot,26.47.15.10,Reims,Europe,51100,France,Steven Buchanan,Sales Manager,London,UK,Federal Shipping,Queso Cabrales,21.0,20–50,4,Dairy Products,14.0,12,0.0,0,168.0,12.36,180.36,0,0.07357142857142857,1,12.0,0,Slow,10248_11
10248,42,VINET,5,3,2023-12-16,2023-12-01,2023,4,12,Dec,2024-01-13,2023-12-28,On time,Vins et alcools Chevalier,59 rue de l'Abbaye,Reims,Unknown,51100,France,Vins et alcools Chevalier,Paul Henriot,26.47.15.10,Reims,Europe,51100,France,Steven Buchanan,Sales Manager,London,UK,Federal Shipping,Singaporean Hokkien Fried Mee,14.0,10–20,5,Grains/Cereals,9.8,10,0.0,0,98.0,7.21,105.21,0,0.07357142857142857,1,12.0,0,Slow,10248_42
10248,72,VINET,5,3,2023-12-16,2023-12-01,2023,4,12,Dec,2024-01-13,2023-12-28,On time,Vins et alcools Chevalier,59 rue de l'Abbaye,Reims,Unknown,51100,France,Vins et alcools Chevalier,Paul Henriot,26.47.15.10,Reims,Europe,51100,France,Steven Buchanan,Sales Manager,London,UK,Federal Shipping,Mozzarella di Giovanni,34.8,20–50,4,Dairy Products,34.8,5,0.0,0,174.0,12.8,186.8,0,0.0735632183908046,1,12.0,0,Slow,10248_72
10249,14,TOMSP,6,1,2023-12-17,2023-12-01,2023,4,12,Dec,2024-01-28,2023-12-22,On time,Toms Spezialitäten,Luisenstr. 48,Münster,Unknown,44087,Germany,Toms Spezialitäten,Karin Josephs,0251-031259,Münster,Europe,44087,Germany,Michael Suyama,Sales Representative,London,UK,Speedy Express,Tofu,23.25,20–50,7,Produce,18.6,9,0.0,0,167.4,1.04,168.44,0,0.006212664277180406,1,5.0,0,Medium,10249_14
10249,51,TOMSP,6,1,2023-12-17,2023-12-01,2023,4,12,Dec,2024-01-28,2023-12-22,On time,Toms Spezialitäten,Luisenstr. 48,Münster,Unknown,44087,Germany,Toms Spezialitäten,Karin Josephs,0251-031259,Münster,Europe,44087,Germany,Michael Suyama,Sales Representative,London,UK,Speedy Express,Manjimup Dried Apples,53.0,>50,7,Produce,42.4,40,0.0,0,1696.0,10.57,1706.57,0,0.006232311320754717,1,5.0,0,Medium,10249_51
10250,41,HANAR,4,2,2023-12-20,2023-12-01,2023,4,12,Dec,2024-01-17,2023-12-24,On time,Hanari Carnes,"Rua do Paço, 67",Rio de Janeiro,RJ,05454-876,Brazil,Hanari Carnes,Mario Pontes,(21) 555-0091,Rio de Janeiro,South America,05454-876,Brazil,Margaret Peacock,Sales Representative,Redmond,USA,United Package,Jack's New England Clam Chowder,9.65,<10,8,Seafood,7.7,10,0.0,0,77.0,3.26,80.26,0,0.042337662337662334,1,4.0,0,Medium,10250_41
10250,51,HANAR,4,2,2023-12-20,2023-12-01,2023,4,12,Dec,2024-01-17,2023-12-24,On time,Hanari Carnes,"Rua do Paço, 67",Rio de Janeiro,RJ,05454-876,Brazil,Hanari Carnes,Mario Pontes,(21) 555-0091,Rio de Janeiro,South America,05454-876,Brazil,Margaret Peacock,Sales Representative,Redmond,USA,United Package,Manjimup Dried Apples,53.0,>50,7,Produce,42.4,35,0.15,15,1261.4,53.48,1314.88,1,0.042397336293007765,1,4.0,0,Medium,10250_51
10250,65,HANAR,4,2,2023-12-20,2023-12-01,2023,4,12,Dec,2024-01-17,2023-12-24,On time,Hanari Carnes,"Rua do Paço, 67",Rio de Janeiro,RJ,05454-876,Brazil,Hanari Carnes,Mario Pontes,(21) 555-0091,Rio de Janeiro,South America,05454-876,Brazil,Margaret Peacock,Sales Representative,Redmond,USA,United Package,Louisiana Fiery Hot Pepper Sauce,21.05,20–50,2,Condiments,16.8,15,0.15,15,214.2,9.08,223.28,1,0.04239028944911298,1,4.0,0,Medium,10250_65
10251,22,VICTE,3,1,2023-12-20,2023-12-01,2023,4,12,Dec,2024-01-17,2023-12-27,On time,Victuailles en stock,"2, rue du Commerce",Lyon,Unknown,69004,France,Victuailles en stock,Mary Saveley,78.32.54.86,Lyon,Europe,69004,France,Janet Leverling,Sales Representative,Kirkland,USA,Speedy Express,Gustaf's Knäckebröd,21.0,20–50,5,Grains/Cereals,16.8,6,0.05,5,95.76,6.05,101.81,1,0.06317878028404343,1,7.0,0,Slow,10251_22
10251,57,VICTE,3,1,2023-12-20,2023-12-01,2023,4,12,Dec,2024-01-17,2023-12-27,On time,Victuailles en stock,"2, rue du Commerce",Lyon,Unknown,69004,France,Victuailles en stock,Mary Saveley,78.32.54.86,Lyon,Europe,69004,France,Janet Leverling,Sales Representative,Kirkland,USA,Speedy Express,Ravioli Angelo,19.5,10–20,5,Grains/Cereals,15.6,15,0.05,5,222.3,14.05,236.35,1,0.06320287899235268,1,7.0,0,Slow,10251_57
